angle,leg_2,action
-6.283,0.0,[1]
-6.1560707070707075,0.0,[1]
-6.029141414141415,0.0,[1]
-5.902212121212122,0.0,[1]
-5.775282828282829,0.0,[1]
-5.648353535353536,0.0,[1]
-5.521424242424243,0.0,[1]
-5.39449494949495,0.0,[1]
-5.267565656565656,0.0,[1]
-5.140636363636364,0.0,[1]
-5.013707070707071,0.0,[1]
-4.886777777777778,0.0,[1]
-4.759848484848485,0.0,[1]
-4.632919191919192,0.0,[1]
-4.505989898989899,0.0,[1]
-4.379060606060606,0.0,[1]
-4.252131313131313,0.0,[1]
-4.12520202020202,0.0,[1]
-3.9982727272727274,0.0,[1]
-3.8713434343434345,0.0,[1]
-3.7444141414141416,0.0,[1]
-3.6174848484848483,0.0,[1]
-3.4905555555555554,0.0,[1]
-3.3636262626262625,0.0,[1]
-3.2366969696969696,0.0,[1]
-3.1097676767676767,0.0,[1]
-2.982838383838384,0.0,[1]
-2.855909090909091,0.0,[1]
-2.7289797979797976,0.0,[1]
-2.6020505050505047,0.0,[1]
-2.475121212121212,0.0,[1]
-2.348191919191919,0.0,[1]
-2.221262626262626,0.0,[1]
-2.094333333333333,0.0,[1]
-1.9674040404040403,0.0,[1]
-1.8404747474747474,0.0,[1]
-1.7135454545454545,0.0,[1]
-1.5866161616161616,0.0,[1]
-1.4596868686868687,0.0,[1]
-1.3327575757575758,0.0,[1]
-1.205828282828283,0.0,[1]
-1.0788989898989891,0.0,[1]
-0.9519696969696962,0.0,[1]
-0.8250404040404034,0.0,[1]
-0.6981111111111105,0.0,[1]
-0.5711818181818176,0.0,[1]
-0.4442525252525247,0.0,[1]
-0.3173232323232318,0.0,[1]
-0.1903939393939389,0.0,[1]
-0.063464646464646,0.0,[0]
0.06346464646464689,0.0,[0]
0.19039393939393978,0.0,[3]
0.3173232323232327,0.0,[3]
0.44425252525252557,0.0,[3]
0.5711818181818185,0.0,[3]
0.6981111111111113,0.0,[3]
0.8250404040404051,0.0,[3]
0.951969696969698,0.0,[3]
1.078898989898991,0.0,[3]
1.2058282828282838,0.0,[3]
1.3327575757575767,0.0,[3]
1.4596868686868696,0.0,[3]
1.5866161616161625,0.0,[3]
1.7135454545454554,0.0,[3]
1.8404747474747483,0.0,[3]
1.967404040404042,0.0,[3]
2.094333333333334,0.0,[3]
2.221262626262628,0.0,[3]
2.34819191919192,0.0,[3]
2.4751212121212136,0.0,[3]
2.6020505050505056,0.0,[3]
2.7289797979797994,0.0,[3]
2.8559090909090914,0.0,[3]
2.982838383838385,0.0,[3]
3.109767676767677,0.0,[3]
3.236696969696971,0.0,[3]
3.363626262626263,0.0,[3]
3.4905555555555567,0.0,[3]
3.6174848484848487,0.0,[3]
3.7444141414141425,0.0,[3]
3.8713434343434345,0.0,[3]
3.9982727272727283,0.0,[3]
4.125202020202022,0.0,[3]
4.252131313131314,0.0,[3]
4.379060606060608,0.0,[3]
4.5059898989899,0.0,[3]
4.632919191919194,0.0,[3]
4.759848484848486,0.0,[3]
4.886777777777779,0.0,[3]
5.0137070707070714,0.0,[3]
5.140636363636365,0.0,[3]
5.267565656565657,0.0,[3]
5.394494949494951,0.0,[3]
5.521424242424243,0.0,[3]
5.648353535353537,0.0,[3]
5.775282828282829,0.0,[3]
5.902212121212123,0.0,[3]
6.029141414141416,0.0,[3]
6.156070707070708,0.0,[3]
6.283,0.0,[3]
-6.283,1.0,[1]
-6.1560707070707075,1.0,[1]
-6.029141414141415,1.0,[1]
-5.902212121212122,1.0,[1]
-5.775282828282829,1.0,[1]
-5.648353535353536,1.0,[1]
-5.521424242424243,1.0,[1]
-5.39449494949495,1.0,[1]
-5.267565656565656,1.0,[1]
-5.140636363636364,1.0,[1]
-5.013707070707071,1.0,[1]
-4.886777777777778,1.0,[1]
-4.759848484848485,1.0,[1]
-4.632919191919192,1.0,[1]
-4.505989898989899,1.0,[1]
-4.379060606060606,1.0,[1]
-4.252131313131313,1.0,[1]
-4.12520202020202,1.0,[1]
-3.9982727272727274,1.0,[1]
-3.8713434343434345,1.0,[1]
-3.7444141414141416,1.0,[1]
-3.6174848484848483,1.0,[1]
-3.4905555555555554,1.0,[1]
-3.3636262626262625,1.0,[1]
-3.2366969696969696,1.0,[1]
-3.1097676767676767,1.0,[1]
-2.982838383838384,1.0,[1]
-2.855909090909091,1.0,[1]
-2.7289797979797976,1.0,[1]
-2.6020505050505047,1.0,[1]
-2.475121212121212,1.0,[1]
-2.348191919191919,1.0,[1]
-2.221262626262626,1.0,[1]
-2.094333333333333,1.0,[1]
-1.9674040404040403,1.0,[1]
-1.8404747474747474,1.0,[1]
-1.7135454545454545,1.0,[1]
-1.5866161616161616,1.0,[1]
-1.4596868686868687,1.0,[2]
-1.3327575757575758,1.0,[2]
-1.205828282828283,1.0,[2]
-1.0788989898989891,1.0,[2]
-0.9519696969696962,1.0,[2]
-0.8250404040404034,1.0,[0]
-0.6981111111111105,1.0,[0]
-0.5711818181818176,1.0,[0]
-0.4442525252525247,1.0,[0]
-0.3173232323232318,1.0,[0]
-0.1903939393939389,1.0,[0]
-0.063464646464646,1.0,[0]
0.06346464646464689,1.0,[0]
0.19039393939393978,1.0,[0]
0.3173232323232327,1.0,[0]
0.44425252525252557,1.0,[2]
0.5711818181818185,1.0,[2]
0.6981111111111113,1.0,[2]
0.8250404040404051,1.0,[2]
0.951969696969698,1.0,[2]
1.078898989898991,1.0,[2]
1.2058282828282838,1.0,[2]
1.3327575757575767,1.0,[2]
1.4596868686868696,1.0,[2]
1.5866161616161625,1.0,[2]
1.7135454545454554,1.0,[2]
1.8404747474747483,1.0,[2]
1.967404040404042,1.0,[2]
2.094333333333334,1.0,[2]
2.221262626262628,1.0,[2]
2.34819191919192,1.0,[2]
2.4751212121212136,1.0,[2]
2.6020505050505056,1.0,[2]
2.7289797979797994,1.0,[2]
2.8559090909090914,1.0,[2]
2.982838383838385,1.0,[2]
3.109767676767677,1.0,[2]
3.236696969696971,1.0,[2]
3.363626262626263,1.0,[3]
3.4905555555555567,1.0,[3]
3.6174848484848487,1.0,[3]
3.7444141414141425,1.0,[3]
3.8713434343434345,1.0,[3]
3.9982727272727283,1.0,[3]
4.125202020202022,1.0,[3]
4.252131313131314,1.0,[3]
4.379060606060608,1.0,[3]
4.5059898989899,1.0,[3]
4.632919191919194,1.0,[3]
4.759848484848486,1.0,[3]
4.886777777777779,1.0,[3]
5.0137070707070714,1.0,[3]
5.140636363636365,1.0,[3]
5.267565656565657,1.0,[3]
5.394494949494951,1.0,[3]
5.521424242424243,1.0,[3]
5.648353535353537,1.0,[3]
5.775282828282829,1.0,[3]
5.902212121212123,1.0,[3]
6.029141414141416,1.0,[3]
6.156070707070708,1.0,[3]
6.283,1.0,[3]
