vel_x_space,leg_1,action
-10.0,0.0,[3]
-9.797979797979798,0.0,[3]
-9.595959595959595,0.0,[3]
-9.393939393939394,0.0,[3]
-9.191919191919192,0.0,[3]
-8.98989898989899,0.0,[3]
-8.787878787878787,0.0,[3]
-8.585858585858587,0.0,[3]
-8.383838383838384,0.0,[3]
-8.181818181818182,0.0,[3]
-7.979797979797979,0.0,[3]
-7.777777777777778,0.0,[3]
-7.575757575757576,0.0,[3]
-7.373737373737374,0.0,[3]
-7.171717171717171,0.0,[3]
-6.96969696969697,0.0,[3]
-6.767676767676768,0.0,[3]
-6.565656565656566,0.0,[3]
-6.363636363636363,0.0,[3]
-6.161616161616162,0.0,[3]
-5.959595959595959,0.0,[3]
-5.757575757575758,0.0,[3]
-5.555555555555555,0.0,[3]
-5.353535353535354,0.0,[3]
-5.151515151515151,0.0,[3]
-4.94949494949495,0.0,[3]
-4.747474747474747,0.0,[3]
-4.545454545454546,0.0,[3]
-4.343434343434343,0.0,[3]
-4.141414141414142,0.0,[3]
-3.9393939393939394,0.0,[3]
-3.737373737373738,0.0,[3]
-3.5353535353535355,0.0,[3]
-3.333333333333333,0.0,[3]
-3.1313131313131315,0.0,[3]
-2.929292929292929,0.0,[3]
-2.7272727272727275,0.0,[3]
-2.525252525252525,0.0,[3]
-2.3232323232323235,0.0,[3]
-2.121212121212121,0.0,[3]
-1.9191919191919187,0.0,[3]
-1.717171717171718,0.0,[3]
-1.5151515151515156,0.0,[3]
-1.3131313131313131,0.0,[3]
-1.1111111111111107,0.0,[3]
-0.9090909090909101,0.0,[3]
-0.7070707070707076,0.0,[3]
-0.5050505050505052,0.0,[3]
-0.30303030303030276,0.0,[3]
-0.10101010101010033,0.0,[0]
0.10101010101010033,0.0,[0]
0.30303030303030276,0.0,[0]
0.5050505050505052,0.0,[1]
0.7070707070707076,0.0,[1]
0.9090909090909083,0.0,[1]
1.1111111111111107,0.0,[1]
1.3131313131313131,0.0,[1]
1.5151515151515156,0.0,[1]
1.7171717171717162,0.0,[1]
1.9191919191919187,0.0,[1]
2.121212121212121,0.0,[1]
2.3232323232323235,0.0,[1]
2.525252525252524,0.0,[1]
2.7272727272727266,0.0,[1]
2.929292929292929,0.0,[1]
3.1313131313131315,0.0,[1]
3.333333333333334,0.0,[1]
3.5353535353535346,0.0,[1]
3.737373737373737,0.0,[1]
3.9393939393939394,0.0,[1]
4.141414141414142,0.0,[1]
4.3434343434343425,0.0,[1]
4.545454545454545,0.0,[1]
4.747474747474747,0.0,[1]
4.94949494949495,0.0,[1]
5.1515151515151505,0.0,[1]
5.353535353535353,0.0,[1]
5.555555555555555,0.0,[1]
5.757575757575758,0.0,[1]
5.9595959595959584,0.0,[1]
6.161616161616163,0.0,[1]
6.363636363636363,0.0,[1]
6.565656565656564,0.0,[1]
6.767676767676768,0.0,[1]
6.969696969696969,0.0,[1]
7.171717171717173,0.0,[1]
7.373737373737374,0.0,[1]
7.575757575757574,0.0,[1]
7.777777777777779,0.0,[1]
7.979797979797979,0.0,[1]
8.18181818181818,0.0,[1]
8.383838383838384,0.0,[1]
8.585858585858585,0.0,[1]
8.787878787878789,0.0,[1]
8.98989898989899,0.0,[1]
9.19191919191919,0.0,[1]
9.393939393939394,0.0,[1]
9.595959595959595,0.0,[1]
9.7979797979798,0.0,[1]
10.0,0.0,[1]
-10.0,1.0,[3]
-9.797979797979798,1.0,[3]
-9.595959595959595,1.0,[3]
-9.393939393939394,1.0,[3]
-9.191919191919192,1.0,[3]
-8.98989898989899,1.0,[3]
-8.787878787878787,1.0,[3]
-8.585858585858587,1.0,[3]
-8.383838383838384,1.0,[3]
-8.181818181818182,1.0,[3]
-7.979797979797979,1.0,[3]
-7.777777777777778,1.0,[3]
-7.575757575757576,1.0,[3]
-7.373737373737374,1.0,[3]
-7.171717171717171,1.0,[3]
-6.96969696969697,1.0,[3]
-6.767676767676768,1.0,[3]
-6.565656565656566,1.0,[3]
-6.363636363636363,1.0,[3]
-6.161616161616162,1.0,[3]
-5.959595959595959,1.0,[3]
-5.757575757575758,1.0,[3]
-5.555555555555555,1.0,[3]
-5.353535353535354,1.0,[3]
-5.151515151515151,1.0,[3]
-4.94949494949495,1.0,[3]
-4.747474747474747,1.0,[3]
-4.545454545454546,1.0,[3]
-4.343434343434343,1.0,[3]
-4.141414141414142,1.0,[3]
-3.9393939393939394,1.0,[3]
-3.737373737373738,1.0,[3]
-3.5353535353535355,1.0,[3]
-3.333333333333333,1.0,[3]
-3.1313131313131315,1.0,[3]
-2.929292929292929,1.0,[3]
-2.7272727272727275,1.0,[3]
-2.525252525252525,1.0,[3]
-2.3232323232323235,1.0,[3]
-2.121212121212121,1.0,[3]
-1.9191919191919187,1.0,[3]
-1.717171717171718,1.0,[3]
-1.5151515151515156,1.0,[3]
-1.3131313131313131,1.0,[3]
-1.1111111111111107,1.0,[3]
-0.9090909090909101,1.0,[3]
-0.7070707070707076,1.0,[3]
-0.5050505050505052,1.0,[3]
-0.30303030303030276,1.0,[3]
-0.10101010101010033,1.0,[0]
0.10101010101010033,1.0,[0]
0.30303030303030276,1.0,[0]
0.5050505050505052,1.0,[0]
0.7070707070707076,1.0,[1]
0.9090909090909083,1.0,[1]
1.1111111111111107,1.0,[1]
1.3131313131313131,1.0,[1]
1.5151515151515156,1.0,[1]
1.7171717171717162,1.0,[1]
1.9191919191919187,1.0,[1]
2.121212121212121,1.0,[1]
2.3232323232323235,1.0,[1]
2.525252525252524,1.0,[1]
2.7272727272727266,1.0,[1]
2.929292929292929,1.0,[1]
3.1313131313131315,1.0,[1]
3.333333333333334,1.0,[1]
3.5353535353535346,1.0,[1]
3.737373737373737,1.0,[1]
3.9393939393939394,1.0,[1]
4.141414141414142,1.0,[1]
4.3434343434343425,1.0,[1]
4.545454545454545,1.0,[1]
4.747474747474747,1.0,[1]
4.94949494949495,1.0,[1]
5.1515151515151505,1.0,[1]
5.353535353535353,1.0,[1]
5.555555555555555,1.0,[1]
5.757575757575758,1.0,[1]
5.9595959595959584,1.0,[1]
6.161616161616163,1.0,[1]
6.363636363636363,1.0,[1]
6.565656565656564,1.0,[1]
6.767676767676768,1.0,[1]
6.969696969696969,1.0,[1]
7.171717171717173,1.0,[1]
7.373737373737374,1.0,[1]
7.575757575757574,1.0,[1]
7.777777777777779,1.0,[1]
7.979797979797979,1.0,[1]
8.18181818181818,1.0,[1]
8.383838383838384,1.0,[1]
8.585858585858585,1.0,[1]
8.787878787878789,1.0,[1]
8.98989898989899,1.0,[1]
9.19191919191919,1.0,[1]
9.393939393939394,1.0,[1]
9.595959595959595,1.0,[1]
9.7979797979798,1.0,[1]
10.0,1.0,[1]
