x_space,leg_1,action
-2.5,0.0,[3]
-2.4494949494949494,0.0,[3]
-2.398989898989899,0.0,[3]
-2.3484848484848486,0.0,[3]
-2.297979797979798,0.0,[3]
-2.2474747474747474,0.0,[3]
-2.196969696969697,0.0,[3]
-2.1464646464646466,0.0,[3]
-2.095959595959596,0.0,[3]
-2.0454545454545454,0.0,[3]
-1.9949494949494948,0.0,[3]
-1.9444444444444444,0.0,[3]
-1.893939393939394,0.0,[3]
-1.8434343434343434,0.0,[3]
-1.7929292929292928,0.0,[3]
-1.7424242424242424,0.0,[3]
-1.691919191919192,0.0,[3]
-1.6414141414141414,0.0,[3]
-1.5909090909090908,0.0,[3]
-1.5404040404040404,0.0,[3]
-1.4898989898989898,0.0,[3]
-1.4393939393939394,0.0,[3]
-1.3888888888888888,0.0,[3]
-1.3383838383838385,0.0,[3]
-1.2878787878787878,0.0,[3]
-1.2373737373737375,0.0,[3]
-1.1868686868686869,0.0,[3]
-1.1363636363636365,0.0,[3]
-1.0858585858585859,0.0,[3]
-1.0353535353535355,0.0,[3]
-0.9848484848484849,0.0,[3]
-0.9343434343434345,0.0,[3]
-0.8838383838383839,0.0,[3]
-0.8333333333333333,0.0,[3]
-0.7828282828282829,0.0,[3]
-0.7323232323232323,0.0,[3]
-0.6818181818181819,0.0,[3]
-0.6313131313131313,0.0,[3]
-0.5808080808080809,0.0,[3]
-0.5303030303030303,0.0,[3]
-0.47979797979797967,0.0,[3]
-0.4292929292929295,0.0,[3]
-0.3787878787878789,0.0,[3]
-0.3282828282828283,0.0,[3]
-0.2777777777777777,0.0,[3]
-0.22727272727272751,0.0,[3]
-0.1767676767676769,0.0,[3]
-0.1262626262626263,0.0,[0]
-0.07575757575757569,0.0,[0]
-0.025252525252525082,0.0,[0]
0.025252525252525082,0.0,[0]
0.07575757575757569,0.0,[0]
0.1262626262626263,0.0,[0]
0.1767676767676769,0.0,[0]
0.22727272727272707,0.0,[0]
0.2777777777777777,0.0,[0]
0.3282828282828283,0.0,[0]
0.3787878787878789,0.0,[0]
0.42929292929292906,0.0,[2]
0.47979797979797967,0.0,[2]
0.5303030303030303,0.0,[2]
0.5808080808080809,0.0,[2]
0.631313131313131,0.0,[2]
0.6818181818181817,0.0,[2]
0.7323232323232323,0.0,[2]
0.7828282828282829,0.0,[2]
0.8333333333333335,0.0,[2]
0.8838383838383836,0.0,[2]
0.9343434343434343,0.0,[2]
0.9848484848484849,0.0,[2]
1.0353535353535355,0.0,[2]
1.0858585858585856,0.0,[2]
1.1363636363636362,0.0,[2]
1.1868686868686869,0.0,[2]
1.2373737373737375,0.0,[2]
1.2878787878787876,0.0,[2]
1.3383838383838382,0.0,[2]
1.3888888888888888,0.0,[2]
1.4393939393939394,0.0,[2]
1.4898989898989896,0.0,[2]
1.5404040404040407,0.0,[2]
1.5909090909090908,0.0,[2]
1.641414141414141,0.0,[2]
1.691919191919192,0.0,[2]
1.7424242424242422,0.0,[2]
1.7929292929292933,0.0,[2]
1.8434343434343434,0.0,[2]
1.8939393939393936,0.0,[2]
1.9444444444444446,0.0,[2]
1.9949494949494948,0.0,[2]
2.045454545454545,0.0,[2]
2.095959595959596,0.0,[2]
2.146464646464646,0.0,[2]
2.1969696969696972,0.0,[2]
2.2474747474747474,0.0,[2]
2.2979797979797976,0.0,[2]
2.3484848484848486,0.0,[2]
2.398989898989899,0.0,[2]
2.44949494949495,0.0,[2]
2.5,0.0,[2]
-2.5,1.0,[3]
-2.4494949494949494,1.0,[3]
-2.398989898989899,1.0,[3]
-2.3484848484848486,1.0,[3]
-2.297979797979798,1.0,[3]
-2.2474747474747474,1.0,[3]
-2.196969696969697,1.0,[3]
-2.1464646464646466,1.0,[3]
-2.095959595959596,1.0,[3]
-2.0454545454545454,1.0,[3]
-1.9949494949494948,1.0,[3]
-1.9444444444444444,1.0,[3]
-1.893939393939394,1.0,[3]
-1.8434343434343434,1.0,[3]
-1.7929292929292928,1.0,[3]
-1.7424242424242424,1.0,[3]
-1.691919191919192,1.0,[3]
-1.6414141414141414,1.0,[3]
-1.5909090909090908,1.0,[3]
-1.5404040404040404,1.0,[3]
-1.4898989898989898,1.0,[3]
-1.4393939393939394,1.0,[3]
-1.3888888888888888,1.0,[3]
-1.3383838383838385,1.0,[3]
-1.2878787878787878,1.0,[3]
-1.2373737373737375,1.0,[3]
-1.1868686868686869,1.0,[3]
-1.1363636363636365,1.0,[3]
-1.0858585858585859,1.0,[3]
-1.0353535353535355,1.0,[3]
-0.9848484848484849,1.0,[3]
-0.9343434343434345,1.0,[3]
-0.8838383838383839,1.0,[3]
-0.8333333333333333,1.0,[3]
-0.7828282828282829,1.0,[3]
-0.7323232323232323,1.0,[3]
-0.6818181818181819,1.0,[3]
-0.6313131313131313,1.0,[3]
-0.5808080808080809,1.0,[3]
-0.5303030303030303,1.0,[3]
-0.47979797979797967,1.0,[3]
-0.4292929292929295,1.0,[3]
-0.3787878787878789,1.0,[3]
-0.3282828282828283,1.0,[3]
-0.2777777777777777,1.0,[3]
-0.22727272727272751,1.0,[3]
-0.1767676767676769,1.0,[3]
-0.1262626262626263,1.0,[3]
-0.07575757575757569,1.0,[0]
-0.025252525252525082,1.0,[0]
0.025252525252525082,1.0,[0]
0.07575757575757569,1.0,[0]
0.1262626262626263,1.0,[0]
0.1767676767676769,1.0,[0]
0.22727272727272707,1.0,[0]
0.2777777777777777,1.0,[0]
0.3282828282828283,1.0,[0]
0.3787878787878789,1.0,[0]
0.42929292929292906,1.0,[0]
0.47979797979797967,1.0,[0]
0.5303030303030303,1.0,[0]
0.5808080808080809,1.0,[0]
0.631313131313131,1.0,[0]
0.6818181818181817,1.0,[0]
0.7323232323232323,1.0,[0]
0.7828282828282829,1.0,[0]
0.8333333333333335,1.0,[2]
0.8838383838383836,1.0,[2]
0.9343434343434343,1.0,[2]
0.9848484848484849,1.0,[2]
1.0353535353535355,1.0,[2]
1.0858585858585856,1.0,[2]
1.1363636363636362,1.0,[2]
1.1868686868686869,1.0,[2]
1.2373737373737375,1.0,[2]
1.2878787878787876,1.0,[2]
1.3383838383838382,1.0,[2]
1.3888888888888888,1.0,[2]
1.4393939393939394,1.0,[2]
1.4898989898989896,1.0,[2]
1.5404040404040407,1.0,[2]
1.5909090909090908,1.0,[2]
1.641414141414141,1.0,[2]
1.691919191919192,1.0,[2]
1.7424242424242422,1.0,[2]
1.7929292929292933,1.0,[2]
1.8434343434343434,1.0,[2]
1.8939393939393936,1.0,[2]
1.9444444444444446,1.0,[2]
1.9949494949494948,1.0,[2]
2.045454545454545,1.0,[2]
2.095959595959596,1.0,[2]
2.146464646464646,1.0,[2]
2.1969696969696972,1.0,[2]
2.2474747474747474,1.0,[2]
2.2979797979797976,1.0,[2]
2.3484848484848486,1.0,[2]
2.398989898989899,1.0,[2]
2.44949494949495,1.0,[2]
2.5,1.0,[2]
